area,size_marla,bedrooms,bathrooms,property_age,has_garage,has_servant_quarter,has_basement,corner_plot,near_park,gated_society,property_type,price_lakhs
Faisal Town,20.1,5,4,12,1,1,1,1,0,0,House,1591.99
Township,9.8,4,4,0,1,0,0,0,0,0,House,748.76
Shahdara,6.8,3,2,25,1,0,1,0,0,0,Lower Portion,283.33
DHA Phase 7-9,9.6,3,2,5,0,1,0,0,1,1,House,1638.11
Johar Town,13.9,5,4,8,1,0,1,0,1,0,House,1364.29
Wapda Town,4.6,2,2,25,1,0,0,0,0,0,House,518.9
Iqbal Town,10.3,4,4,0,1,1,0,1,0,0,House,1028.45
DHA Phase 7-9,14.5,5,5,2,1,1,1,0,0,1,House,2154.0
Allama Iqbal Town,14.5,5,5,5,1,0,0,0,0,0,Upper Portion,1010.96
Gulberg I-II,7.4,4,4,3,1,0,0,0,0,0,House,1397.69
Gulberg I-II,14.1,4,4,5,1,1,0,0,0,0,House,2950.71
Lake City,5.2,3,3,35,0,0,0,0,0,1,House,547.7
Valencia,6.8,3,3,25,1,0,0,0,1,1,Upper Portion,788.88
Valencia,20.1,6,5,25,1,1,0,0,1,1,House,2385.02
DHA Phase 4-6,14.0,5,5,35,1,1,0,0,1,1,House,2803.64
Faisal Town,5.0,2,2,5,0,0,0,0,0,0,House,448.88
Gulberg III-V,7.3,4,3,3,0,1,0,0,1,0,House,1293.87
DHA Phase 4-6,6.8,4,4,3,0,0,0,0,0,1,House,1223.95
Samanabad,6.8,4,3,25,0,0,0,0,0,0,House,410.28
Township,7.4,3,3,18,0,0,1,0,0,0,House,464.71
Faisal Town,4.6,3,3,3,0,0,0,0,0,0,Lower Portion,383.53
Allama Iqbal Town,10.0,4,3,5,0,0,0,0,0,0,House,731.13
Garden Town,14.4,4,3,8,1,1,0,1,1,0,House,2185.26
Lake City,14.1,5,5,12,1,1,1,0,1,1,House,1671.78
DHA Phase 4-6,14.0,5,4,25,1,1,1,0,1,1,House,1701.33
Johar Town,4.7,2,2,5,0,1,0,1,1,0,House,584.64
Johar Town,19.8,4,4,35,1,1,0,0,0,0,House,1660.09
Gulberg III-V,20.4,5,5,8,1,1,0,0,0,0,House,3296.44
Wapda Town,20.1,6,6,18,1,1,0,0,0,0,House,2107.09
Bahria Town,20.0,5,5,35,1,1,1,0,0,1,House,2390.14
DHA Phase 4-6,19.6,4,4,35,1,0,0,1,0,1,House,3466.76
Gulberg I-II,9.5,3,2,0,0,0,0,0,1,0,House,1872.34
Iqbal Town,7.5,4,3,2,1,1,0,1,1,0,Flat,674.06
DHA Phase 4-6,13.9,4,3,8,1,1,0,0,0,1,House,2568.28
Faisal Town,14.1,4,4,8,0,1,1,0,0,0,House,1333.35
Bahria Town,13.6,5,4,12,0,1,1,0,0,1,House,1941.03
Bahria Town,10.2,5,5,35,1,0,0,0,0,1,House,1025.79
Valencia,5.4,4,3,1,0,0,0,0,1,1,Upper Portion,727.09
Allama Iqbal Town,10.1,5,5,8,1,0,0,0,0,0,House,697.44
Model Town,19.6,5,5,2,1,1,1,0,1,0,House,2348.69
Iqbal Town,10.1,4,4,25,1,1,1,0,0,0,House,950.67
Lake City,10.3,5,5,35,1,1,0,0,0,1,House,1145.75
Gulberg III-V,6.9,4,4,8,1,0,0,1,0,0,Lower Portion,1157.44
Faisal Town,10.4,5,4,1,1,1,0,0,1,0,House,867.53
Allama Iqbal Town,20.1,7,7,25,1,0,1,0,0,0,Upper Portion,1475.02
Garden Town,14.4,4,3,18,1,1,0,1,1,0,House,1907.52
Faisal Town,20.1,6,6,5,1,1,0,1,0,0,House,1515.34
Faisal Town,9.6,4,4,25,0,0,0,1,0,0,House,722.13
Iqbal Town,13.8,4,4,35,1,1,0,0,0,0,House,1350.99
Allama Iqbal Town,6.7,3,2,12,0,1,0,0,0,0,House,471.9
Iqbal Town,14.4,4,4,12,1,1,0,1,1,0,House,1499.93
Iqbal Town,10.3,4,3,3,1,1,1,0,1,0,House,1036.94
Valencia,10.2,5,5,12,1,1,0,0,1,1,House,1062.36
Wapda Town,13.8,4,3,8,1,1,0,0,1,0,House,1412.4
DHA Phase 7-9,19.7,5,4,5,1,1,0,0,0,1,House,2833.6
Faisal Town,5.3,4,3,0,1,0,0,1,1,0,House,534.84
Faisal Town,20.0,5,5,3,1,1,0,0,0,0,House,1615.5
DHA Phase 1-3,6.7,3,3,2,0,0,0,0,0,1,Upper Portion,1117.94
Allama Iqbal Town,10.1,4,3,12,1,1,0,0,0,0,House,902.91
DHA Phase 4-6,4.5,3,3,12,0,0,1,0,0,1,Upper Portion,769.31
Model Town,6.8,4,4,12,0,0,0,0,0,0,Flat,805.85
Wapda Town,10.0,3,3,5,0,0,0,1,0,0,House,1016.54
DHA Phase 7-9,4.6,3,2,8,0,0,1,0,0,1,Upper Portion,588.63
Allama Iqbal Town,10.5,4,3,25,1,1,0,1,0,0,House,717.0
Allama Iqbal Town,19.7,4,4,8,0,1,1,0,0,0,House,1412.55
Bahria Town,4.6,3,2,35,0,0,0,0,0,1,Flat,462.98
DHA Phase 1-3,13.7,4,4,8,1,1,1,0,0,1,Upper Portion,2296.72
Gulberg III-V,10.3,4,4,12,1,0,0,0,0,0,House,1664.32
Valencia,13.9,5,4,0,1,0,0,0,1,1,House,1722.43
Shahdara,7.1,4,3,18,0,1,0,0,1,0,Flat,395.09
Garden Town,6.5,3,3,25,1,1,1,0,1,0,Upper Portion,748.34
Gulberg III-V,6.5,3,3,35,1,1,1,0,0,0,House,765.68
Garden Town,4.9,2,2,35,0,0,0,0,0,0,Upper Portion,564.21
Lake City,7.3,3,2,3,0,1,0,0,0,1,House,1015.38
Allama Iqbal Town,14.4,5,4,12,1,0,0,0,0,0,Upper Portion,1122.8
DHA Phase 4-6,19.6,5,5,8,1,1,1,0,1,1,House,4604.94
Wapda Town,20.0,5,5,12,1,1,0,0,0,0,House,1971.02
Lake City,14.4,4,3,2,1,1,1,0,0,1,House,1663.71
Shahdara,4.9,2,2,25,0,0,0,0,0,0,House,156.35
Model Town,7.3,3,2,35,1,0,0,0,0,0,Lower Portion,945.53
Garden Town,6.6,3,2,8,1,0,0,0,0,0,House,873.59
Township,7.4,4,4,3,1,0,0,1,1,0,House,485.36
DHA Phase 4-6,10.3,5,5,1,1,1,0,0,0,1,House,1755.07
Township,10.4,5,4,18,1,1,0,0,0,0,House,629.7
Iqbal Town,10.2,4,4,5,1,1,0,1,0,0,House,933.82
DHA Phase 4-6,9.9,3,2,35,0,0,0,0,1,1,House,2034.12
Gulberg III-V,20.4,7,6,18,1,0,0,0,0,0,House,2863.3
Iqbal Town,19.8,5,4,12,0,1,0,0,0,0,House,1758.04
DHA Phase 4-6,6.8,4,4,12,1,1,1,0,0,1,House,1160.13
Valencia,20.2,5,5,0,1,1,1,0,0,1,House,2738.85
Model Town,20.3,5,5,35,1,1,1,0,0,0,Upper Portion,2718.46
Valencia,7.4,4,3,12,1,0,1,1,0,1,Flat,935.72
DHA Phase 1-3,9.7,4,3,35,0,0,1,0,1,1,Upper Portion,1378.43
Faisal Town,10.3,4,3,12,1,0,0,0,0,0,House,871.98
Shahdara,20.2,7,6,18,1,1,1,0,0,0,House,986.78
Shahdara,19.6,4,4,0,1,1,0,0,0,0,House,960.1
Wapda Town,4.9,3,3,12,0,0,0,1,0,0,Flat,403.94
DHA Phase 4-6,9.8,4,4,18,0,0,1,0,1,1,Lower Portion,1906.48
Wapda Town,9.8,4,3,25,0,1,1,0,1,0,Flat,1018.67
DHA Phase 1-3,10.5,4,3,25,1,1,1,1,0,1,House,2363.75
DHA Phase 1-3,7.1,4,4,3,0,0,1,0,0,1,Flat,1567.08
Model Town,20.2,7,6,35,1,1,0,0,0,0,House,2877.77
Bahria Town,14.5,5,5,35,1,0,0,0,0,1,House,1430.01
Wapda Town,19.9,5,4,0,1,1,1,0,0,0,Upper Portion,2300.54
Iqbal Town,20.3,6,5,35,1,0,0,1,0,0,House,1578.31
Bahria Town,13.9,4,3,3,1,1,1,0,0,1,House,1603.89
Gulberg III-V,10.4,4,3,18,1,1,0,1,1,0,House,1697.59
Shahdara,13.7,4,3,5,1,1,0,0,0,0,Upper Portion,716.61
Johar Town,7.4,4,4,35,1,0,0,0,0,0,Lower Portion,738.08
Bahria Town,13.7,5,5,1,1,1,0,0,0,1,House,1555.92
DHA Phase 7-9,6.8,3,3,8,1,0,1,0,0,1,Upper Portion,880.26
Allama Iqbal Town,14.3,4,3,8,1,1,0,0,1,0,House,1423.24
Iqbal Town,6.9,3,3,5,0,0,0,0,0,0,Upper Portion,581.27
Gulberg I-II,5.1,3,3,12,1,0,0,0,0,0,House,881.83
DHA Phase 4-6,6.9,4,3,1,0,0,1,0,0,1,House,1119.19
Iqbal Town,5.2,4,3,18,1,0,0,1,0,0,House,517.75
Garden Town,13.7,4,4,35,1,0,0,0,0,0,House,1750.58
Gulberg III-V,13.6,4,4,25,1,0,0,0,0,0,House,1964.53
Township,9.8,3,3,25,1,0,1,0,0,0,Lower Portion,552.13
DHA Phase 7-9,7.0,4,4,5,0,0,0,0,0,1,Upper Portion,1152.45
Johar Town,4.7,2,2,5,0,0,1,0,0,0,Lower Portion,411.95
Township,4.9,2,2,8,0,0,0,0,0,0,House,283.69
Johar Town,6.9,4,4,0,1,0,0,0,0,0,Upper Portion,654.57
Garden Town,19.6,4,4,35,1,1,0,1,1,0,House,2564.43
Johar Town,7.1,3,3,1,0,0,0,0,0,0,Lower Portion,631.86
Gulberg III-V,10.4,5,5,35,1,1,0,0,0,0,House,1426.47
Shahdara,4.7,3,3,1,0,0,0,0,0,0,Flat,189.02
Johar Town,7.1,4,4,25,1,0,1,1,1,0,House,787.67
Samanabad,10.2,5,4,2,1,0,0,1,0,0,House,727.31
Gulberg I-II,13.9,5,4,0,1,1,0,0,0,0,House,2981.53
Gulberg I-II,7.2,4,3,18,0,0,1,1,0,0,Lower Portion,1301.4
DHA Phase 1-3,4.9,3,3,3,1,0,0,1,0,1,Upper Portion,916.0
Garden Town,10.0,4,4,18,1,1,1,0,0,0,House,1092.55
Johar Town,6.5,3,2,12,0,1,0,0,0,0,House,563.67
Faisal Town,7.2,3,3,1,1,1,0,0,1,0,Lower Portion,494.43
Bahria Town,20.2,6,6,35,1,0,0,0,0,1,House,2816.29
Shahdara,13.5,4,4,8,1,0,0,0,1,0,House,706.59
DHA Phase 7-9,9.9,4,3,18,1,0,1,0,0,1,House,1272.18
Faisal Town,10.5,4,3,8,1,1,0,0,0,0,Upper Portion,749.76
Allama Iqbal Town,9.9,4,3,12,1,0,1,0,0,0,House,693.89
Wapda Town,10.0,4,4,5,1,0,0,0,1,0,House,909.9
Faisal Town,14.4,4,3,2,1,0,0,0,0,0,House,1369.83
Wapda Town,14.2,4,3,12,1,1,0,0,1,0,Upper Portion,1324.99
Garden Town,7.1,4,3,8,0,0,1,0,0,0,Flat,751.64
DHA Phase 4-6,10.3,4,4,5,1,1,0,0,0,1,House,2264.44
DHA Phase 1-3,10.4,4,3,18,1,1,0,0,0,1,House,1692.97
Samanabad,20.0,4,3,18,1,0,0,0,1,0,House,1128.37
Valencia,14.0,5,5,0,1,1,1,0,0,1,House,2054.16
Allama Iqbal Town,9.9,3,2,5,1,0,0,0,1,0,Upper Portion,766.74
Bahria Town,5.5,4,4,8,1,0,1,0,0,1,House,669.09
DHA Phase 4-6,14.2,5,5,1,1,0,0,0,0,1,House,2058.61
DHA Phase 4-6,4.6,3,2,3,0,0,0,0,0,1,Upper Portion,684.46
Iqbal Town,7.4,4,3,0,0,0,1,0,1,0,Flat,607.07
Johar Town,5.0,3,2,35,1,0,1,0,0,0,Upper Portion,472.5
Gulberg I-II,13.6,4,4,18,1,1,0,0,0,0,House,2396.84
Bahria Town,7.0,3,2,1,1,0,0,1,1,1,Upper Portion,848.09
DHA Phase 4-6,9.9,4,3,0,0,0,1,0,0,1,Upper Portion,1670.64
Valencia,20.4,5,4,18,1,1,0,1,0,1,House,2182.33
Gulberg III-V,6.7,3,3,8,0,0,0,0,0,0,House,1020.34
Allama Iqbal Town,10.3,4,4,25,1,0,0,0,0,0,House,885.83
Gulberg III-V,10.1,5,5,35,1,1,1,0,0,0,Upper Portion,1437.12
Bahria Town,4.6,2,2,12,0,0,1,0,0,1,Upper Portion,519.66
DHA Phase 1-3,20.5,6,5,2,1,1,0,0,0,1,House,3889.23
DHA Phase 4-6,5.0,3,3,25,0,1,0,0,0,1,House,970.92
Johar Town,9.8,3,2,35,0,0,0,0,0,0,House,835.6
Bahria Town,10.0,3,2,12,0,0,0,0,0,1,House,1347.42
Valencia,14.4,5,5,18,1,1,0,1,1,1,House,1901.35
Gulberg III-V,13.8,4,4,5,1,1,1,1,0,0,Upper Portion,2065.69
Iqbal Town,6.7,3,3,5,1,0,0,0,1,0,House,714.88
Faisal Town,4.6,3,2,18,0,0,0,1,1,0,House,347.61
Allama Iqbal Town,13.8,4,3,35,1,1,0,0,0,0,House,1069.07
DHA Phase 1-3,10.3,4,3,12,1,0,0,1,1,1,House,2084.31
Bahria Town,20.0,4,4,25,1,0,0,0,0,1,House,2011.95
DHA Phase 4-6,19.7,4,4,2,1,1,0,0,0,1,House,3492.67
Gulberg I-II,19.7,4,3,2,1,1,1,0,0,0,House,3528.6
Shahdara,9.8,4,4,12,1,0,0,1,0,0,Lower Portion,461.28
DHA Phase 7-9,7.4,3,3,2,1,0,0,0,0,1,House,1156.72
Bahria Town,19.8,5,4,12,1,1,0,0,1,1,House,2143.74
Valencia,10.5,4,4,3,0,1,0,1,0,1,House,1383.07
Iqbal Town,7.0,4,3,25,1,0,0,0,0,0,Upper Portion,575.51
Lake City,19.7,5,5,25,1,1,0,0,0,1,House,1972.08
DHA Phase 1-3,20.4,5,4,8,1,1,0,1,0,1,House,4070.87
Model Town,10.0,4,4,2,0,0,0,0,0,0,Lower Portion,1261.59
Bahria Town,5.2,4,3,12,0,0,0,0,0,1,House,522.48
DHA Phase 4-6,10.5,5,5,35,1,0,0,0,0,1,House,1380.48
Model Town,19.6,4,4,12,0,1,0,0,0,0,House,2830.34
DHA Phase 1-3,19.6,4,4,0,1,1,0,0,1,1,Upper Portion,3120.16
DHA Phase 4-6,7.2,3,3,0,1,0,0,0,0,1,Lower Portion,1247.8
Johar Town,4.8,3,3,5,0,0,1,0,0,0,House,521.14
DHA Phase 7-9,19.7,4,3,2,1,0,0,1,0,1,House,2554.75
Lake City,9.5,4,3,25,1,0,0,0,0,1,House,1292.33
Iqbal Town,9.5,4,3,25,0,0,1,0,0,0,Flat,831.65
Allama Iqbal Town,40.3,5,5,3,1,1,1,0,0,0,House,3255.81
Gulberg I-II,4.6,3,2,5,0,1,1,0,0,0,Flat,847.74
DHA Phase 7-9,14.0,4,4,3,1,0,0,0,0,1,House,1855.28
DHA Phase 4-6,5.1,4,4,35,0,0,0,0,1,1,Lower Portion,819.33
Garden Town,9.9,4,3,8,1,0,1,0,0,0,Upper Portion,1487.76
Iqbal Town,19.5,4,3,18,1,1,0,0,0,0,House,1916.37
DHA Phase 1-3,10.3,4,4,8,1,0,1,0,0,1,House,2439.59
Township,39.5,5,5,12,1,1,0,0,0,0,Upper Portion,2284.13
DHA Phase 1-3,10.3,4,3,5,1,1,0,0,1,1,House,1766.42
Lake City,7.4,4,3,5,0,1,0,1,0,1,House,827.23
Iqbal Town,6.9,4,4,12,0,0,0,0,1,0,Lower Portion,498.9
Faisal Town,10.0,4,4,12,1,0,0,0,1,0,Upper Portion,888.68
Iqbal Town,10.0,3,2,3,0,0,0,1,0,0,House,834.45
Allama Iqbal Town,4.9,2,2,1,0,0,1,0,0,0,Flat,236.93
Model Town,10.4,5,5,5,1,1,0,0,0,0,House,1856.5
Allama Iqbal Town,10.4,4,3,8,1,0,0,0,0,0,House,738.86
DHA Phase 4-6,13.8,4,3,12,1,1,0,0,1,1,House,2182.11
Samanabad,14.1,4,4,35,0,1,0,0,0,0,House,1002.77
Lake City,14.4,4,4,0,1,1,1,0,0,1,House,1391.44
Allama Iqbal Town,5.5,3,2,3,1,0,0,0,0,0,Upper Portion,460.28
Bahria Town,7.0,4,4,2,0,0,0,0,0,1,House,793.32
Garden Town,14.0,5,4,8,1,1,1,0,0,0,House,1527.66
Bahria Town,9.8,4,4,8,1,0,0,0,0,1,House,1404.12
Wapda Town,5.5,3,2,18,0,0,0,1,0,0,House,587.33
DHA Phase 4-6,19.6,4,4,3,1,1,0,1,0,1,House,3685.93
DHA Phase 4-6,14.1,5,5,12,1,0,1,0,0,1,House,2505.86
Gulberg III-V,9.8,3,3,25,1,0,0,0,1,0,Lower Portion,1476.43
DHA Phase 7-9,4.8,3,2,35,0,0,0,0,0,1,Flat,522.17
Faisal Town,13.9,4,3,35,1,1,1,1,0,0,House,1164.48
Gulberg I-II,10.5,4,3,25,1,0,0,0,0,0,House,1598.32
Shahdara,19.6,5,5,35,1,1,0,0,0,0,Upper Portion,747.7
Model Town,14.1,4,4,3,1,1,0,0,0,0,House,1996.54
DHA Phase 7-9,19.6,4,3,2,1,1,0,0,0,1,Upper Portion,2978.12
Allama Iqbal Town,9.7,3,2,0,1,0,0,1,0,0,Flat,710.06
Garden Town,4.9,2,2,18,1,0,1,0,1,0,House,639.35
Bahria Town,14.0,4,4,35,1,1,0,0,1,1,House,1394.13
Lake City,13.8,5,5,2,1,1,0,0,0,1,Upper Portion,1519.23
Wapda Town,13.8,4,4,12,1,1,1,1,0,0,Upper Portion,1452.72
Gulberg I-II,6.6,3,2,18,1,0,0,0,0,0,House,1243.02
Shahdara,6.8,4,3,35,0,0,0,0,1,0,Upper Portion,304.76
Shahdara,20.5,5,5,12,1,0,0,0,0,0,House,919.52
Garden Town,14.4,4,4,35,0,1,0,0,0,0,House,1653.51
Gulberg I-II,19.8,4,4,5,1,0,0,0,0,0,House,3737.23
Iqbal Town,14.1,4,3,5,1,1,1,0,1,0,House,1410.74
DHA Phase 4-6,10.4,5,4,12,1,1,0,0,0,1,House,1751.64
DHA Phase 1-3,13.5,4,4,5,1,0,0,0,0,1,House,2417.34
Gulberg III-V,20.3,7,7,0,1,0,0,0,0,0,House,3432.1
Bahria Town,10.4,4,4,18,1,1,0,0,0,1,House,1181.22
Faisal Town,13.6,4,4,18,1,1,0,0,0,0,House,1209.49
Wapda Town,6.7,4,4,18,0,1,0,0,1,0,Flat,622.79
Wapda Town,10.5,4,4,5,1,0,1,0,0,0,House,901.77
Johar Town,14.0,5,4,12,0,1,1,0,1,0,House,1733.72
Model Town,6.5,4,3,5,0,0,1,0,1,0,House,931.58
Johar Town,6.8,4,3,0,0,1,0,1,0,0,Upper Portion,650.24
Shahdara,6.9,4,4,12,0,0,1,0,0,0,Upper Portion,283.44
DHA Phase 1-3,7.2,4,4,1,1,0,0,0,1,1,Lower Portion,1155.06
Faisal Town,7.2,3,3,1,1,0,1,1,0,0,House,632.08
Valencia,10.5,4,3,18,0,1,0,1,0,1,House,1616.28
Johar Town,19.8,4,4,0,1,1,0,0,0,0,House,1865.52
Wapda Town,10.0,4,3,35,0,1,0,1,0,0,House,1106.77
Bahria Town,7.0,3,3,8,1,0,0,1,0,1,Upper Portion,830.94
Faisal Town,4.9,3,3,35,0,0,1,0,1,0,Flat,327.12
Samanabad,13.7,4,4,0,1,1,0,0,1,0,House,838.18
Johar Town,10.5,5,4,12,1,0,1,0,1,0,House,939.84
Gulberg III-V,20.4,7,6,5,1,1,0,0,0,0,House,2704.44
Valencia,14.0,4,3,25,1,1,0,0,0,1,Upper Portion,1494.56
Samanabad,20.1,5,5,5,1,0,0,0,0,0,House,963.3
Gulberg I-II,6.7,4,3,3,0,0,0,0,0,0,House,1393.51
Garden Town,14.0,5,5,25,1,1,0,0,0,0,Upper Portion,1801.4
Garden Town,7.2,3,3,5,1,0,0,0,0,0,House,858.07
Wapda Town,20.0,5,4,0,1,1,0,0,0,0,House,1957.11
DHA Phase 4-6,14.5,5,4,5,1,0,0,1,0,1,House,2228.82
Iqbal Town,7.1,4,4,18,0,0,0,1,0,0,House,442.27
Samanabad,6.9,4,4,3,1,0,1,0,1,0,Lower Portion,604.85
DHA Phase 7-9,7.3,4,4,8,1,1,0,1,0,1,Lower Portion,1038.48
Gulberg I-II,13.7,5,5,0,1,1,0,0,0,0,House,2230.65
Shahdara,6.9,4,3,12,0,1,1,0,1,0,Lower Portion,256.68
DHA Phase 7-9,9.8,3,2,18,0,0,0,0,0,1,Upper Portion,1056.33
Faisal Town,6.9,3,2,8,0,0,0,1,0,0,Flat,680.39
Bahria Town,14.3,4,4,8,0,1,0,0,1,1,House,1971.15
Gulberg III-V,20.0,5,5,1,1,1,0,0,1,0,House,3225.62
Faisal Town,14.3,4,4,2,0,1,0,0,0,0,House,1016.85
Bahria Town,14.1,5,4,2,1,1,1,0,0,1,Upper Portion,1957.78
Bahria Town,6.8,3,3,8,0,0,1,0,0,1,Lower Portion,825.31
Model Town,5.3,4,4,12,0,0,0,1,0,0,Upper Portion,775.83
Valencia,13.7,4,3,35,1,0,0,0,1,1,Upper Portion,1716.09
DHA Phase 7-9,9.7,3,2,0,1,0,0,0,1,1,House,1110.1
Johar Town,10.0,5,5,12,1,1,0,0,0,0,House,896.84
Shahdara,4.8,3,2,12,0,0,1,0,0,0,Flat,218.38
Gulberg III-V,6.5,3,3,8,0,0,0,0,0,0,Flat,1010.23
Garden Town,5.1,4,3,25,1,0,1,0,1,0,House,577.63
Model Town,20.0,5,5,2,1,1,1,0,0,0,House,2651.45
Wapda Town,6.9,4,3,0,0,0,0,0,0,0,House,664.65
DHA Phase 4-6,10.5,5,4,18,1,1,1,0,1,1,House,1994.1
Shahdara,5.1,3,2,5,0,0,0,0,0,0,House,278.07
Bahria Town,14.4,4,3,0,1,1,1,0,1,1,House,1512.51
Gulberg I-II,6.6,4,4,3,1,0,1,0,0,0,Lower Portion,1355.0
DHA Phase 4-6,20.1,5,5,5,0,1,0,0,0,1,House,2889.9
DHA Phase 7-9,20.4,5,4,12,1,1,0,0,0,1,Upper Portion,3070.67
Bahria Town,7.1,4,4,2,0,0,1,1,0,1,Lower Portion,800.13
Model Town,20.2,5,4,8,1,1,0,0,0,0,House,2754.48
Allama Iqbal Town,39.9,5,4,8,1,1,0,1,1,0,House,3041.14
Johar Town,19.6,5,5,8,1,1,0,1,0,0,House,2061.03
Gulberg III-V,20.0,5,5,35,1,1,1,0,0,0,Upper Portion,3114.71
Valencia,6.9,3,3,0,0,0,0,1,0,1,Upper Portion,911.55
Iqbal Town,10.4,4,4,35,1,1,0,0,0,0,House,985.2
DHA Phase 7-9,4.7,2,2,12,0,0,1,0,0,1,Flat,691.22
DHA Phase 7-9,5.5,3,3,25,0,0,1,1,0,1,Lower Portion,625.32
DHA Phase 1-3,40.5,5,5,8,0,0,0,0,0,1,House,7687.46
Wapda Town,6.7,3,2,8,0,0,1,0,0,0,House,611.64
Iqbal Town,13.8,5,5,25,1,1,0,0,0,0,House,1059.91
Bahria Town,20.4,5,4,25,1,1,1,0,0,1,House,2269.43
Faisal Town,20.5,6,6,3,0,0,0,0,0,0,Upper Portion,1675.96
Allama Iqbal Town,39.9,7,7,2,1,1,0,0,0,0,House,3057.91
Valencia,6.8,3,2,8,1,0,1,0,0,1,Upper Portion,963.41
Faisal Town,5.0,4,3,35,0,0,0,0,0,0,Upper Portion,412.47
Gulberg I-II,10.2,4,3,5,1,1,0,0,0,0,Upper Portion,1827.1
DHA Phase 4-6,4.8,3,2,18,0,0,1,0,1,1,House,897.1
Gulberg III-V,5.2,4,4,18,0,0,0,0,0,0,Lower Portion,732.09
DHA Phase 4-6,9.6,3,3,25,0,0,0,0,1,1,Flat,1720.71
Lake City,19.5,4,3,12,0,1,0,0,0,1,House,2224.97
Township,9.9,3,2,8,0,0,1,0,1,0,House,596.29
DHA Phase 1-3,6.9,4,4,35,1,0,0,0,1,1,Upper Portion,1602.78
DHA Phase 4-6,13.8,4,4,12,1,0,0,0,0,1,House,2171.72
Bahria Town,7.0,4,3,18,0,0,0,0,0,1,Lower Portion,907.34
Township,4.8,3,3,5,0,0,0,0,0,0,Lower Portion,207.57
Model Town,13.7,5,5,18,1,1,1,0,0,0,Upper Portion,2011.96
Bahria Town,13.8,4,3,3,1,0,0,0,0,1,House,1891.59
DHA Phase 1-3,14.5,5,4,3,1,1,0,0,0,1,House,2116.71
DHA Phase 7-9,4.9,3,2,18,0,0,1,0,0,1,Upper Portion,676.54
Shahdara,19.9,5,4,12,1,0,1,0,0,0,House,1069.0
Shahdara,14.1,4,4,18,1,1,1,0,0,0,House,731.96
DHA Phase 1-3,10.5,4,3,3,1,1,0,1,0,1,House,2122.61
Township,13.7,5,5,12,1,1,0,0,0,0,House,844.81
Garden Town,20.2,5,5,8,1,1,0,0,1,0,House,2243.3
Faisal Town,10.2,4,4,12,1,1,0,0,0,0,House,1099.05
Bahria Town,10.1,4,4,3,0,0,0,0,0,1,House,1122.19
Bahria Town,39.6,7,6,18,1,1,0,0,1,1,House,4735.01
Bahria Town,14.2,5,5,25,1,1,1,1,0,1,House,1562.55
Iqbal Town,9.6,3,2,3,0,0,1,0,1,0,House,632.16
DHA Phase 7-9,14.1,5,5,5,1,1,1,0,0,1,House,1747.0
DHA Phase 1-3,10.2,4,3,18,1,1,0,1,0,1,Upper Portion,1597.71
Gulberg III-V,6.7,4,4,18,1,0,0,0,0,0,House,1130.61
Iqbal Town,10.3,5,5,18,1,0,0,0,0,0,House,859.37
Gulberg I-II,19.5,5,4,18,1,1,0,1,0,0,House,3174.89
Iqbal Town,20.3,5,4,5,1,1,0,0,0,0,House,1567.1
Shahdara,7.0,3,2,5,0,1,0,0,0,0,Upper Portion,326.84
DHA Phase 4-6,9.7,3,2,3,1,0,0,1,1,1,Lower Portion,1499.56
Iqbal Town,6.6,3,3,2,0,0,1,1,0,0,House,717.95
Bahria Town,40.5,6,6,18,1,1,0,1,0,1,House,4767.86
Faisal Town,39.6,5,5,1,1,1,0,1,0,0,Upper Portion,2952.63
DHA Phase 7-9,13.7,5,5,35,1,1,1,0,0,1,House,2059.01
Iqbal Town,19.8,5,5,25,1,1,1,0,0,0,Upper Portion,1721.28
Allama Iqbal Town,14.1,4,3,25,1,1,0,1,1,0,Upper Portion,1053.81
Township,10.0,4,3,35,1,1,0,1,1,0,House,504.15
Iqbal Town,4.6,2,2,8,0,0,0,0,0,0,Upper Portion,371.67
Bahria Town,9.8,3,2,25,1,0,1,0,0,1,Upper Portion,1156.22
Valencia,13.7,5,5,2,1,0,0,0,1,1,House,2002.71
Faisal Town,13.7,4,4,0,1,1,0,1,0,0,House,1065.94
Lake City,9.9,3,2,25,1,0,0,0,1,1,Flat,1355.2
DHA Phase 1-3,20.2,5,5,0,0,1,0,0,0,1,House,4034.87
Township,6.7,3,2,35,1,0,0,1,0,0,House,321.05
Iqbal Town,9.9,3,3,18,1,1,1,0,1,0,House,811.18
Iqbal Town,13.9,4,3,18,1,1,0,0,0,0,House,1426.61
Gulberg I-II,14.5,5,5,3,1,1,0,1,1,0,House,2952.29
Garden Town,14.5,5,5,18,1,1,0,0,0,0,House,1852.16
Johar Town,7.3,4,3,0,1,0,0,0,0,0,Upper Portion,757.14
Garden Town,6.7,3,3,25,0,1,0,0,1,0,House,736.45
DHA Phase 4-6,13.6,5,5,2,1,1,0,0,0,1,House,2689.98
Garden Town,9.8,3,2,18,1,1,0,0,0,0,Upper Portion,1070.44
Shahdara,6.8,4,3,3,1,0,0,0,0,0,Lower Portion,347.36
DHA Phase 1-3,14.0,4,3,0,1,1,1,0,1,1,House,3118.39
Shahdara,10.3,4,4,8,1,1,0,0,1,0,House,547.78
Johar Town,14.4,5,4,2,1,0,0,1,0,0,Upper Portion,1637.27
Faisal Town,20.3,5,4,18,1,1,0,0,0,0,Upper Portion,1972.95
